# s_m; t_s; v_mps; beta_rad; omega_z_radps; n_m; xi_rad
0.0; 0.000; 11.25; -0.01658; 0.20020; -0.83778; 0.25101
1.5; 0.138; 11.33; -0.01802; 0.21223; -0.46893; 0.26187
3.0; 0.274; 11.40; -0.01950; 0.22405; -0.08774; 0.27128
4.5; 0.410; 11.44; -0.02101; 0.23541; 0.30291; 0.27940
6.0; 0.544; 11.47; -0.02253; 0.24612; 0.70017; 0.28608
7.5; 0.678; 11.47; -0.02401; 0.25603; 1.10086; 0.29108
9.0; 0.809; 11.47; -0.02545; 0.26504; 1.50147; 0.29416
10.5; 0.940; 11.45; -0.02681; 0.27308; 1.89820; 0.29507
12.0; 1.069; 11.42; -0.02808; 0.28014; 2.28713; 0.29361
13.5; 1.196; 11.38; -0.02924; 0.28617; 2.66426; 0.28960
15.0; 1.321; 11.33; -0.03029; 0.29148; 3.02577; 0.28295
16.5; 1.445; 11.28; -0.03128; 0.29688; 3.36819; 0.27378
18.0; 1.566; 11.22; -0.03209; 0.29994; 3.68823; 0.26176
19.5; 1.685; 11.17; -0.03200; 0.29211; 3.97927; 0.24312
21.0; 1.797; 11.13; -0.03058; 0.27468; 4.22359; 0.20827
22.5; 1.898; 11.12; -0.02899; 0.26708; 4.39331; 0.14653
24.0; 1.987; 11.10; -0.02825; 0.27265; 4.46764; 0.05436
25.5; 2.069; 11.09; -0.02820; 0.27962; 4.44209; -0.05612
27.0; 2.154; 11.08; -0.02818; 0.27681; 4.31087; -0.16097
28.5; 2.251; 11.07; -0.02745; 0.26457; 4.06238; -0.24287
30.0; 2.362; 11.08; -0.02593; 0.25223; 3.69896; -0.29796
31.5; 2.486; 11.10; -0.02420; 0.24269; 3.24164; -0.32720
33.0; 2.619; 11.14; -0.02254; 0.23267; 2.72592; -0.33236
34.5; 2.758; 11.20; -0.02100; 0.22186; 2.19640; -0.31829
36.0; 2.898; 11.27; -0.01964; 0.21145; 1.69150; -0.29453
37.5; 3.037; 11.34; -0.01847; 0.20163; 1.22700; -0.27108
39.0; 3.173; 11.43; -0.01741; 0.19199; 0.79902; -0.25235
40.5; 3.308; 11.52; -0.01643; 0.18239; 0.39899; -0.23732
42.0; 3.441; 11.62; -0.01550; 0.17300; 0.02225; -0.22353
43.5; 3.573; 11.72; -0.01463; 0.16398; -0.33185; -0.20953
45.0; 3.704; 11.82; -0.01382; 0.15540; -0.66242; -0.19495
46.5; 3.833; 11.93; -0.01307; 0.14727; -0.96844; -0.17973
48.0; 3.961; 12.04; -0.01237; 0.13962; -1.24887; -0.16382
49.5; 4.087; 12.15; -0.01173; 0.13246; -1.50267; -0.14714
51.0; 4.211; 12.26; -0.01114; 0.12579; -1.72876; -0.12961
52.5; 4.333; 12.36; -0.01060; 0.11953; -1.92600; -0.11116
54.0; 4.454; 12.47; -0.01010; 0.11384; -2.09321; -0.09168
55.5; 4.573; 12.57; -0.00979; 0.11140; -2.22903; -0.07079
57.0; 4.690; 12.67; -0.01034; 0.12310; -2.33140; -0.04696
58.5; 4.806; 12.74; -0.01302; 0.16580; -2.39641; -0.01721
60.0; 4.922; 12.75; -0.01840; 0.23310; -2.41797; 0.01994
61.5; 5.038; 12.68; -0.02741; 0.32353; -2.38932; 0.06507
63.0; 5.157; 12.48; -0.04075; 0.41862; -2.30417; 0.11762
64.5; 5.279; 12.21; -0.05323; 0.42177; -2.15858; 0.16978
66.0; 5.405; 11.94; -0.05635; 0.31713; -1.95252; 0.21077
67.5; 5.536; 11.46; -0.05849; 0.36300; -1.68988; 0.24683
69.0; 5.675; 10.93; -0.06107; 0.34473; -1.37461; 0.28149
70.5; 5.822; 10.39; -0.06009; 0.31368; -1.00860; 0.31177
72.0; 5.978; 9.84; -0.05615; 0.30031; -0.59327; 0.33857
73.5; 6.143; 9.28; -0.05126; 0.30442; -0.13000; 0.36435
75.0; 6.319; 8.70; -0.04709; 0.32166; 0.38045; 0.39171
76.5; 6.507; 8.13; -0.04424; 0.34354; 0.93873; 0.42262
78.0; 6.707; 7.56; -0.04219; 0.36364; 1.54313; 0.45430
79.5; 6.915; 7.01; -0.04034; 0.38446; 2.16577; 0.47153
81.0; 7.113; 6.53; -0.03913; 0.41663; 2.71696; 0.44250
82.5; 7.273; 6.18; -0.03932; 0.46164; 3.07297; 0.32745
84.0; 7.387; 5.95; -0.04035; 0.49908; 3.20889; 0.12330
85.5; 7.493; 5.75; -0.04179; 0.52123; 3.18778; -0.09763
87.0; 7.637; 5.51; -0.04318; 0.53448; 3.00404; -0.24933
88.5; 7.840; 5.18; -0.04366; 0.55300; 2.65368; -0.30211
90.0; 8.098; 4.82; -0.04406; 0.59651; 2.23174; -0.26345
91.5; 8.399; 4.45; -0.04890; 0.68973; 1.88166; -0.14207
93.0; 8.721; 4.34; -0.05128; 0.71185; 1.73052; 0.03269
94.5; 9.041; 4.50; -0.02441; 0.49993; 1.82812; 0.17307
96.0; 9.334; 4.61; -0.01935; 0.66063; 2.09484; 0.25869
97.5; 9.576; 4.76; -0.01762; 0.59990; 2.36072; 0.22758
99.0; 9.761; 4.89; -0.01717; 0.58325; 2.49249; 0.08383
100.5; 9.932; 5.03; -0.01723; 0.56148; 2.47429; -0.08351
102.0; 10.128; 5.22; -0.01543; 0.50752; 2.30991; -0.19405
103.5; 10.355; 5.50; -0.01368; 0.44628; 2.02596; -0.23466
105.0; 10.598; 5.86; -0.01271; 0.38141; 1.68782; -0.22852
106.5; 10.840; 6.25; -0.01190; 0.32051; 1.35874; -0.19612
108.0; 11.073; 6.66; -0.01111; 0.27002; 1.08147; -0.14978
109.5; 11.293; 7.06; -0.01038; 0.23023; 0.87688; -0.10014
111.0; 11.501; 7.45; -0.00973; 0.19928; 0.74500; -0.05607
112.5; 11.698; 7.82; -0.00915; 0.17506; 0.67400; -0.02086
114.0; 11.885; 8.17; -0.00865; 0.15591; 0.65046; 0.00619
115.5; 12.065; 8.50; -0.00822; 0.14066; 0.66285; 0.02629
117.0; 12.237; 8.82; -0.00785; 0.12850; 0.70147; 0.04070
118.5; 12.404; 9.12; -0.00755; 0.11883; 0.75905; 0.05144
120.0; 12.565; 9.41; -0.00731; 0.11125; 0.83208; 0.06126
121.5; 12.722; 9.68; -0.00713; 0.10549; 0.92092; 0.07220
123.0; 12.875; 9.94; -0.00703; 0.10143; 1.02803; 0.08513
124.5; 13.025; 10.18; -0.00701; 0.09901; 1.15666; 0.10033
126.0; 13.171; 10.41; -0.00709; 0.09830; 1.31049; 0.11800
127.5; 13.316; 10.63; -0.00728; 0.09942; 1.49269; 0.13706
129.0; 13.457; 10.84; -0.00762; 0.10283; 1.70140; 0.15278
130.5; 13.594; 11.03; -0.00818; 0.10939; 1.92313; 0.15760
132.0; 13.725; 11.19; -0.00903; 0.12000; 2.13351; 0.14569
133.5; 13.850; 11.34; -0.01012; 0.13320; 2.30457; 0.11405
135.0; 13.967; 11.47; -0.01092; 0.13884; 2.40930; 0.05933
136.5; 14.077; 11.59; -0.01033; 0.11936; 2.42219; -0.02294
138.0; 14.183; 11.72; -0.00782; 0.07277; 2.31894; -0.13000
139.5; 14.290; 11.87; -0.00281; -0.00798; 2.07403; -0.24486
141.0; 14.407; 12.02; 0.00558; -0.13107; 1.66536; -0.34762
142.5; 14.537; 11.63; 0.02209; -0.33741; 1.09376; -0.43681
144.0; 14.683; 10.98; 0.03784; -0.40156; 0.39014; -0.50148
145.5; 14.841; 10.34; 0.04534; -0.35066; -0.38410; -0.53104
147.0; 15.004; 9.72; 0.04621; -0.31750; -1.14622; -0.52277
148.5; 15.166; 9.15; 0.04454; -0.31615; -1.82070; -0.48296
150.0; 15.321; 8.63; 0.04290; -0.33085; -2.37195; -0.42319
151.5; 15.470; 8.16; 0.04145; -0.34167; -2.79561; -0.34950
153.0; 15.611; 7.74; 0.03995; -0.35236; -3.08971; -0.25776
154.5; 15.741; 7.37; 0.03851; -0.36481; -3.24958; -0.13920
156.0; 15.860; 7.04; 0.03751; -0.38460; -3.27584; 0.01062
157.5; 15.979; 6.74; 0.03774; -0.42105; -3.16923; 0.17445
159.0; 16.123; 6.41; 0.03860; -0.44266; -2.90281; 0.30558
160.5; 16.317; 5.98; 0.03729; -0.43926; -2.45801; 0.36031
162.0; 16.564; 5.43; 0.03202; -0.44036; -1.92529; 0.33235
163.5; 16.853; 4.84; 0.02620; -0.49515; -1.46125; 0.23866
165.0; 17.174; 4.30; 0.02414; -0.60419; -1.17887; 0.09375
166.5; 17.524; 3.87; 0.02574; -0.72470; -1.13866; -0.09219
168.0; 17.914; 3.37; 0.03898; -0.91094; -1.38107; -0.32544
169.5; 18.321; 3.45; 0.04586; -0.92553; -1.92157; -0.54918
171.0; 18.656; 3.82; 0.00494; -0.53879; -2.56237; -0.57635
172.5; 18.876; 4.08; -0.00141; -0.65293; -2.99717; -0.44615
174.0; 19.037; 4.25; 0.00290; -0.65280; -3.23198; -0.27033
175.5; 19.188; 4.42; 0.00549; -0.61196; -3.34878; -0.10234
177.0; 19.332; 4.59; 0.00625; -0.55292; -3.35679; 0.06943
178.5; 19.477; 4.80; 0.00645; -0.49365; -3.24356; 0.24894
180.0; 19.650; 5.08; 0.00682; -0.42637; -2.95945; 0.39592
181.5; 19.872; 5.47; 0.00758; -0.34844; -2.44691; 0.47959
183.0; 20.128; 5.97; 0.00802; -0.27282; -1.73590; 0.50910
184.5; 20.391; 6.50; 0.00779; -0.21163; -0.92479; 0.50361
186.0; 20.642; 7.03; 0.00716; -0.16599; -0.11406; 0.47316
187.5; 20.870; 7.51; 0.00638; -0.13181; 0.61995; 0.42331
189.0; 21.076; 7.95; 0.00553; -0.10411; 1.23705; 0.36145
190.5; 21.261; 8.34; 0.00451; -0.07730; 1.73018; 0.29470
192.0; 21.429; 8.69; 0.00300; -0.04288; 2.10566; 0.22652
193.5; 21.584; 9.03; 0.00035; 0.01247; 2.37179; 0.15930
195.0; 21.729; 9.31; -0.00439; 0.10354; 2.53897; 0.09739
196.5; 21.873; 8.71; -0.01754; 0.30900; 2.62194; 0.05513
198.0; 22.025; 8.17; -0.02642; 0.34178; 2.64235; 0.02269
199.5; 22.187; 7.63; -0.02896; 0.32660; 2.61705; -0.00482
201.0; 22.364; 7.08; -0.02682; 0.30785; 2.55940; -0.02670
202.5; 22.557; 6.49; -0.02288; 0.30986; 2.48216; -0.03992
204.0; 22.771; 5.87; -0.01925; 0.33499; 2.40054; -0.03929
205.5; 23.011; 5.24; -0.01657; 0.39047; 2.33781; -0.01595
207.0; 23.281; 4.62; -0.01593; 0.50129; 2.33164; 0.04334
208.5; 23.568; 4.30; -0.04306; 0.88446; 2.42761; 0.16648
210.0; 23.858; 3.86; -0.06626; 0.53688; 2.61334; 0.25258
211.5; 24.130; 3.61; -0.01470; 0.82564; 2.82055; 0.23033
213.0; 24.375; 3.37; -0.02347; 0.90355; 2.99597; 0.21503
214.5; 24.595; 3.35; -0.02474; 0.88296; 3.11931; 0.16030
216.0; 24.778; 3.44; -0.00429; 0.66476; 3.17221; 0.01837
217.5; 24.916; 3.58; 0.00749; 0.71418; 3.13285; -0.20687
219.0; 25.061; 3.72; 0.00701; 0.74012; 2.96545; -0.42782
220.5; 25.288; 3.96; 0.00232; 0.69065; 2.55220; -0.53531
222.0; 25.597; 4.32; -0.00328; 0.59603; 1.89341; -0.52287
223.5; 25.931; 4.82; -0.00604; 0.44030; 1.15654; -0.47119
225.0; 26.246; 5.40; -0.00701; 0.32283; 0.44948; -0.42035
226.5; 26.532; 5.98; -0.00707; 0.23910; -0.19176; -0.37396
228.0; 26.788; 6.53; -0.00666; 0.18365; -0.75586; -0.32985
229.5; 27.020; 7.03; -0.00611; 0.14521; -1.24373; -0.28865
231.0; 27.232; 7.49; -0.00553; 0.11729; -1.66292; -0.25090
232.5; 27.428; 7.92; -0.00495; 0.09585; -2.02000; -0.21513
234.0; 27.611; 8.30; -0.00439; 0.07862; -2.31837; -0.17972
235.5; 27.783; 8.66; -0.00383; 0.06416; -2.55996; -0.14413
237.0; 27.946; 9.00; -0.00327; 0.05149; -2.74742; -0.10951
238.5; 28.103; 9.32; -0.00270; 0.03992; -2.88615; -0.07862
240.0; 28.256; 9.62; -0.00215; 0.03007; -2.98433; -0.05370
241.5; 28.405; 9.91; -0.00195; 0.02843; -3.05075; -0.03441
243.0; 28.551; 10.17; -0.00303; 0.05160; -3.09201; -0.01733
244.5; 28.696; 10.41; -0.00547; 0.09160; -3.11079; 0.00030
246.0; 28.838; 10.61; -0.00902; 0.14128; -3.10639; 0.02007
247.5; 28.980; 10.76; -0.01388; 0.20114; -3.07581; 0.04348
249.0; 29.121; 10.82; -0.02042; 0.26845; -3.01422; 0.07185
250.5; 29.264; 10.80; -0.02903; 0.33734; -2.91578; 0.10570
252.0; 29.409; 10.67; -0.03973; 0.39801; -2.77511; 0.14412
253.5; 29.558; 10.46; -0.05043; 0.42277; -2.58898; 0.18312
255.0; 29.712; 10.21; -0.05873; 0.41335; -2.35744; 0.21876
256.5; 29.870; 9.93; -0.06478; 0.41040; -2.08226; 0.25275
258.0; 30.032; 9.63; -0.06934; 0.40775; -1.76084; 0.29235
259.5; 30.197; 9.37; -0.06638; 0.32478; -1.37815; 0.33919
261.0; 30.369; 8.90; -0.06548; 0.39436; -0.90805; 0.40207
262.5; 30.555; 8.43; -0.06637; 0.38953; -0.32325; 0.47127
264.0; 30.756; 7.96; -0.06626; 0.40344; 0.36646; 0.51876
265.5; 30.963; 7.53; -0.06918; 0.46476; 1.07633; 0.52572
267.0; 31.159; 7.32; -0.06898; 0.43194; 1.69598; 0.48378
268.5; 31.339; 7.13; -0.06586; 0.43767; 2.17910; 0.41118
270.0; 31.509; 6.98; -0.06235; 0.44304; 2.54358; 0.33551
271.5; 31.674; 6.85; -0.05839; 0.44704; 2.81413; 0.26401
273.0; 31.834; 6.75; -0.05396; 0.44904; 3.00138; 0.19145
274.5; 31.990; 6.69; -0.04910; 0.44840; 3.10618; 0.11035
276.0; 32.139; 6.66; -0.04428; 0.44839; 3.12473; 0.01767
277.5; 32.289; 6.65; -0.04044; 0.45379; 3.05208; -0.07818
279.0; 32.447; 6.65; -0.03857; 0.46581; 2.88366; -0.16119
280.5; 32.619; 6.65; -0.03787; 0.46807; 2.62113; -0.22239
282.0; 32.804; 6.70; -0.03407; 0.43416; 2.27633; -0.26678
283.5; 33.001; 6.79; -0.02911; 0.41418; 1.86427; -0.29937
285.0; 33.206; 6.94; -0.02563; 0.39599; 1.39563; -0.32379
286.5; 33.417; 7.12; -0.02277; 0.36749; 0.87577; -0.34276
288.0; 33.632; 7.35; -0.02025; 0.33419; 0.31237; -0.35351
289.5; 33.847; 7.61; -0.01808; 0.29957; -0.27390; -0.35187
291.0; 34.057; 7.89; -0.01623; 0.26627; -0.85146; -0.33665
292.5; 34.258; 8.18; -0.01465; 0.23618; -1.38780; -0.30810
294.0; 34.446; 8.46; -0.01331; 0.21017; -1.85439; -0.26602
295.5; 34.621; 8.74; -0.01220; 0.18841; -2.23008; -0.21131
297.0; 34.784; 8.99; -0.01127; 0.17022; -2.50666; -0.14930
298.5; 34.939; 9.24; -0.01046; 0.15433; -2.68911; -0.08815
300.0; 35.090; 9.48; -0.00969; 0.13988; -2.78794; -0.03311
301.5; 35.237; 9.72; -0.00899; 0.12698; -2.81340; 0.01472
303.0; 35.383; 9.95; -0.00851; 0.11885; -2.77442; 0.05604
304.5; 35.527; 10.17; -0.00876; 0.12393; -2.67843; 0.09267
306.0; 35.670; 10.38; -0.00954; 0.13400; -2.53107; 0.12557
307.5; 35.813; 10.57; -0.01050; 0.14384; -2.33704; 0.15487
309.0; 35.954; 10.74; -0.01155; 0.15412; -2.10096; 0.18065
310.5; 36.095; 10.90; -0.01268; 0.16501; -1.82772; 0.20304
312.0; 36.236; 11.03; -0.01390; 0.17642; -1.52244; 0.22213
313.5; 36.375; 11.15; -0.01520; 0.18821; -1.19060; 0.23800
315.0; 36.514; 11.25; -0.01658; 0.20020; -0.83778; 0.25101
